year,cites_per_year,author
2004,217,Consiglio Antonella
2005,172,Consiglio Antonella
2006,192,Consiglio Antonella
2007,242,Consiglio Antonella
2008,251,Consiglio Antonella
2009,205,Consiglio Antonella
2010,239,Consiglio Antonella
2011,326,Consiglio Antonella
2012,326,Consiglio Antonella
2013,401,Consiglio Antonella
2014,340,Consiglio Antonella
2015,312,Consiglio Antonella
2016,269,Consiglio Antonella
2017,288,Consiglio Antonella
2018,315,Consiglio Antonella
2019,307,Consiglio Antonella
2020,359,Consiglio Antonella
2021,271,Consiglio Antonella
2022,307,Consiglio Antonella
2023,144,Consiglio Antonella
2003,67,Mokari Taleb
2004,133,Mokari Taleb
2005,266,Mokari Taleb
2006,310,Mokari Taleb
2007,315,Mokari Taleb
2008,382,Mokari Taleb
2009,414,Mokari Taleb
2010,514,Mokari Taleb
2011,540,Mokari Taleb
2012,536,Mokari Taleb
2013,505,Mokari Taleb
2014,526,Mokari Taleb
2015,504,Mokari Taleb
2016,449,Mokari Taleb
2017,371,Mokari Taleb
2018,337,Mokari Taleb
2019,297,Mokari Taleb
2020,309,Mokari Taleb
2021,248,Mokari Taleb
2022,208,Mokari Taleb
2023,134,Mokari Taleb
2004,7,Arbely Eyal
2005,25,Arbely Eyal
2006,33,Arbely Eyal
2007,34,Arbely Eyal
2008,45,Arbely Eyal
2009,63,Arbely Eyal
2010,42,Arbely Eyal
2011,59,Arbely Eyal
2012,47,Arbely Eyal
2013,57,Arbely Eyal
2014,62,Arbely Eyal
2015,37,Arbely Eyal
2016,48,Arbely Eyal
2017,62,Arbely Eyal
2018,70,Arbely Eyal
2019,58,Arbely Eyal
2020,122,Arbely Eyal
2021,157,Arbely Eyal
2022,148,Arbely Eyal
2023,82,Arbely Eyal
2000,19,Ashkenasy Gonen
2001,24,Ashkenasy Gonen
2002,40,Ashkenasy Gonen
2003,34,Ashkenasy Gonen
2004,52,Ashkenasy Gonen
2005,66,Ashkenasy Gonen
2006,76,Ashkenasy Gonen
2007,90,Ashkenasy Gonen
2008,74,Ashkenasy Gonen
2009,124,Ashkenasy Gonen
2010,150,Ashkenasy Gonen
2011,173,Ashkenasy Gonen
2012,189,Ashkenasy Gonen
2013,180,Ashkenasy Gonen
2014,163,Ashkenasy Gonen
2015,214,Ashkenasy Gonen
2016,146,Ashkenasy Gonen
2017,237,Ashkenasy Gonen
2018,292,Ashkenasy Gonen
2019,272,Ashkenasy Gonen
2020,328,Ashkenasy Gonen
2021,387,Ashkenasy Gonen
2022,367,Ashkenasy Gonen
2023,166,Ashkenasy Gonen
2014,4,HARTMAN Yair
2015,1,HARTMAN Yair
2016,12,HARTMAN Yair
2017,14,HARTMAN Yair
2018,9,HARTMAN Yair
2019,9,HARTMAN Yair
2020,15,HARTMAN Yair
2021,18,HARTMAN Yair
2022,31,HARTMAN Yair
2023,23,HARTMAN Yair
2018,5,Rubin Natan
2019,17,Rubin Natan
2020,43,Rubin Natan
2021,105,Rubin Natan
2022,151,Rubin Natan
2023,108,Rubin Natan
2000,32,ROSENTAL Benyamin
2001,73,ROSENTAL Benyamin
2002,72,ROSENTAL Benyamin
2003,92,ROSENTAL Benyamin
2004,107,ROSENTAL Benyamin
2005,109,ROSENTAL Benyamin
2006,107,ROSENTAL Benyamin
2007,71,ROSENTAL Benyamin
2008,105,ROSENTAL Benyamin
2009,185,ROSENTAL Benyamin
2010,229,ROSENTAL Benyamin
2011,264,ROSENTAL Benyamin
2012,268,ROSENTAL Benyamin
2013,321,ROSENTAL Benyamin
2014,444,ROSENTAL Benyamin
2015,424,ROSENTAL Benyamin
2016,463,ROSENTAL Benyamin
2017,427,ROSENTAL Benyamin
2018,430,ROSENTAL Benyamin
2019,560,ROSENTAL Benyamin
2020,601,ROSENTAL Benyamin
2021,622,ROSENTAL Benyamin
2022,541,ROSENTAL Benyamin
2023,333,ROSENTAL Benyamin
2011,25,PALMER Benjamin
2012,118,PALMER Benjamin
2013,157,PALMER Benjamin
2014,250,PALMER Benjamin
2015,249,PALMER Benjamin
2016,304,PALMER Benjamin
2017,285,PALMER Benjamin
2018,290,PALMER Benjamin
2019,333,PALMER Benjamin
2020,384,PALMER Benjamin
2021,480,PALMER Benjamin
2022,418,PALMER Benjamin
2023,231,PALMER Benjamin
2003,25,Permuter Haim
2004,12,Permuter Haim
2005,25,Permuter Haim
2006,14,Permuter Haim
2007,24,Permuter Haim
2008,44,Permuter Haim
2009,75,Permuter Haim
2010,127,Permuter Haim
2011,144,Permuter Haim
2012,160,Permuter Haim
2013,191,Permuter Haim
2014,234,Permuter Haim
2015,198,Permuter Haim
2016,270,Permuter Haim
2017,251,Permuter Haim
2018,221,Permuter Haim
2019,203,Permuter Haim
2020,201,Permuter Haim
2021,181,Permuter Haim
2022,261,Permuter Haim
2023,146,Permuter Haim
2002,30,GRAVE Daniel
2003,22,GRAVE Daniel
2004,43,GRAVE Daniel
2005,62,GRAVE Daniel
2006,63,GRAVE Daniel
2007,112,GRAVE Daniel
2008,112,GRAVE Daniel
2009,146,GRAVE Daniel
2010,193,GRAVE Daniel
2011,246,GRAVE Daniel
2012,371,GRAVE Daniel
2013,455,GRAVE Daniel
2014,465,GRAVE Daniel
2015,655,GRAVE Daniel
2016,621,GRAVE Daniel
2017,718,GRAVE Daniel
2018,739,GRAVE Daniel
2019,660,GRAVE Daniel
2020,651,GRAVE Daniel
2021,712,GRAVE Daniel
2022,866,GRAVE Daniel
2023,425,GRAVE Daniel
2005,48,Toiber Deborah
2006,108,Toiber Deborah
2007,119,Toiber Deborah
2008,132,Toiber Deborah
2009,92,Toiber Deborah
2010,115,Toiber Deborah
2011,151,Toiber Deborah
2012,245,Toiber Deborah
2013,311,Toiber Deborah
2014,332,Toiber Deborah
2015,313,Toiber Deborah
2016,345,Toiber Deborah
2017,310,Toiber Deborah
2018,333,Toiber Deborah
2019,298,Toiber Deborah
2020,350,Toiber Deborah
2021,415,Toiber Deborah
2022,391,Toiber Deborah
2023,226,Toiber Deborah
2001,13,Tsori Yoav
2002,14,Tsori Yoav
2003,42,Tsori Yoav
2004,20,Tsori Yoav
2005,44,Tsori Yoav
2006,82,Tsori Yoav
2007,79,Tsori Yoav
2008,62,Tsori Yoav
2009,126,Tsori Yoav
2010,80,Tsori Yoav
2011,93,Tsori Yoav
2012,67,Tsori Yoav
2013,94,Tsori Yoav
2014,83,Tsori Yoav
2015,80,Tsori Yoav
2016,110,Tsori Yoav
2017,72,Tsori Yoav
2018,47,Tsori Yoav
2019,51,Tsori Yoav
2020,52,Tsori Yoav
2021,62,Tsori Yoav
2022,64,Tsori Yoav
2023,30,Tsori Yoav
2008,9,Efremenko Klim
2009,22,Efremenko Klim
2010,46,Efremenko Klim
2011,34,Efremenko Klim
2012,43,Efremenko Klim
2013,30,Efremenko Klim
2014,45,Efremenko Klim
2015,43,Efremenko Klim
2016,57,Efremenko Klim
2017,89,Efremenko Klim
2018,98,Efremenko Klim
2019,109,Efremenko Klim
2020,115,Efremenko Klim
2021,100,Efremenko Klim
2022,107,Efremenko Klim
2023,64,Efremenko Klim
2010,78,SHALOM Menny
2011,243,SHALOM Menny
2012,325,SHALOM Menny
2013,433,SHALOM Menny
2014,563,SHALOM Menny
2015,655,SHALOM Menny
2016,842,SHALOM Menny
2017,976,SHALOM Menny
2018,1219,SHALOM Menny
2019,1275,SHALOM Menny
2020,1319,SHALOM Menny
2021,1277,SHALOM Menny
2022,1396,SHALOM Menny
2023,808,SHALOM Menny
2010,41,Hod Idan
2011,135,Hod Idan
2012,183,Hod Idan
2013,224,Hod Idan
2014,285,Hod Idan
2015,346,Hod Idan
2016,373,Hod Idan
2017,384,Hod Idan
2018,458,Hod Idan
2019,542,Hod Idan
2020,618,Hod Idan
2021,629,Hod Idan
2022,665,Hod Idan
2023,399,Hod Idan
2003,67,Mokari Taleb
2004,133,Mokari Taleb
2005,266,Mokari Taleb
2006,310,Mokari Taleb
2007,315,Mokari Taleb
2008,382,Mokari Taleb
2009,414,Mokari Taleb
2010,514,Mokari Taleb
2011,540,Mokari Taleb
2012,536,Mokari Taleb
2013,505,Mokari Taleb
2014,526,Mokari Taleb
2015,504,Mokari Taleb
2016,449,Mokari Taleb
2017,371,Mokari Taleb
2018,337,Mokari Taleb
2019,297,Mokari Taleb
2020,309,Mokari Taleb
2021,248,Mokari Taleb
2022,208,Mokari Taleb
2023,134,Mokari Taleb
2014,18,ZEHAVI Meirav
2015,31,ZEHAVI Meirav
2016,33,ZEHAVI Meirav
2017,55,ZEHAVI Meirav
2018,92,ZEHAVI Meirav
2019,148,ZEHAVI Meirav
2020,265,ZEHAVI Meirav
2021,280,ZEHAVI Meirav
2022,308,ZEHAVI Meirav
2023,219,ZEHAVI Meirav
2008,9,AMIRAM Miriam
2009,4,AMIRAM Miriam
2010,11,AMIRAM Miriam
2011,20,AMIRAM Miriam
2012,35,AMIRAM Miriam
2013,64,AMIRAM Miriam
2014,77,AMIRAM Miriam
2015,124,AMIRAM Miriam
2016,174,AMIRAM Miriam
2017,183,AMIRAM Miriam
2018,231,AMIRAM Miriam
2019,249,AMIRAM Miriam
2020,280,AMIRAM Miriam
2021,257,AMIRAM Miriam
2022,357,AMIRAM Miriam
2023,189,AMIRAM Miriam
1997,8,OSER Jennifer
1998,5,OSER Jennifer
1999,8,OSER Jennifer
2000,14,OSER Jennifer
2001,21,OSER Jennifer
2002,37,OSER Jennifer
2003,20,OSER Jennifer
2004,20,OSER Jennifer
2005,32,OSER Jennifer
2006,29,OSER Jennifer
2007,19,OSER Jennifer
2008,25,OSER Jennifer
2009,38,OSER Jennifer
2010,32,OSER Jennifer
2011,26,OSER Jennifer
2012,26,OSER Jennifer
2013,45,OSER Jennifer
2014,58,OSER Jennifer
2015,79,OSER Jennifer
2016,96,OSER Jennifer
2017,127,OSER Jennifer
2018,141,OSER Jennifer
2019,116,OSER Jennifer
2020,187,OSER Jennifer
2021,209,OSER Jennifer
2022,277,OSER Jennifer
2023,132,OSER Jennifer
1998,15,AHARONI Amir
1999,18,AHARONI Amir
2000,25,AHARONI Amir
2001,19,AHARONI Amir
2002,32,AHARONI Amir
2003,31,AHARONI Amir
2004,27,AHARONI Amir
2005,135,AHARONI Amir
2006,219,AHARONI Amir
2007,267,AHARONI Amir
2008,247,AHARONI Amir
2009,281,AHARONI Amir
2010,219,AHARONI Amir
2011,292,AHARONI Amir
2012,297,AHARONI Amir
2013,341,AHARONI Amir
2014,303,AHARONI Amir
2015,284,AHARONI Amir
2016,330,AHARONI Amir
2017,313,AHARONI Amir
2018,288,AHARONI Amir
2019,368,AHARONI Amir
2020,429,AHARONI Amir
2021,401,AHARONI Amir
2022,367,AHARONI Amir
2023,223,AHARONI Amir
2004,29,Meijler Michael
2005,87,Meijler Michael
2006,125,Meijler Michael
2007,139,Meijler Michael
2008,185,Meijler Michael
2009,231,Meijler Michael
2010,264,Meijler Michael
2011,356,Meijler Michael
2012,369,Meijler Michael
2013,421,Meijler Michael
2014,367,Meijler Michael
2015,358,Meijler Michael
2016,343,Meijler Michael
2017,361,Meijler Michael
2018,305,Meijler Michael
2019,363,Meijler Michael
2020,359,Meijler Michael
2021,359,Meijler Michael
2022,415,Meijler Michael
2023,225,Meijler Michael
2005,10,Baraban Joshua
2006,7,Baraban Joshua
2007,5,Baraban Joshua
2008,9,Baraban Joshua
2009,6,Baraban Joshua
2010,2,Baraban Joshua
2011,22,Baraban Joshua
2012,13,Baraban Joshua
2013,16,Baraban Joshua
2014,71,Baraban Joshua
2015,45,Baraban Joshua
2016,48,Baraban Joshua
2017,96,Baraban Joshua
2018,86,Baraban Joshua
2019,158,Baraban Joshua
2020,176,Baraban Joshua
2021,161,Baraban Joshua
2022,164,Baraban Joshua
2023,95,Baraban Joshua
1989,59,Henik Avishai
1990,52,Henik Avishai
1991,47,Henik Avishai
1992,58,Henik Avishai
1993,64,Henik Avishai
1994,75,Henik Avishai
1995,73,Henik Avishai
1996,136,Henik Avishai
1997,128,Henik Avishai
1998,165,Henik Avishai
1999,169,Henik Avishai
2000,166,Henik Avishai
2001,192,Henik Avishai
2002,303,Henik Avishai
2003,196,Henik Avishai
2004,249,Henik Avishai
2005,293,Henik Avishai
2006,386,Henik Avishai
2007,466,Henik Avishai
2008,640,Henik Avishai
2009,1265,Henik Avishai
2010,700,Henik Avishai
2011,694,Henik Avishai
2012,835,Henik Avishai
2013,1069,Henik Avishai
2014,1003,Henik Avishai
2015,988,Henik Avishai
2016,1262,Henik Avishai
2017,1542,Henik Avishai
2018,1265,Henik Avishai
2019,1222,Henik Avishai
2020,1232,Henik Avishai
2021,1171,Henik Avishai
2022,1232,Henik Avishai
2023,728,Henik Avishai
1998,15,Aharoni Amir
1999,18,Aharoni Amir
2000,25,Aharoni Amir
2001,19,Aharoni Amir
2002,32,Aharoni Amir
2003,31,Aharoni Amir
2004,27,Aharoni Amir
2005,135,Aharoni Amir
2006,219,Aharoni Amir
2007,267,Aharoni Amir
2008,247,Aharoni Amir
2009,281,Aharoni Amir
2010,219,Aharoni Amir
2011,292,Aharoni Amir
2012,297,Aharoni Amir
2013,341,Aharoni Amir
2014,303,Aharoni Amir
2015,284,Aharoni Amir
2016,330,Aharoni Amir
2017,313,Aharoni Amir
2018,288,Aharoni Amir
2019,368,Aharoni Amir
2020,429,Aharoni Amir
2021,401,Aharoni Amir
2022,367,Aharoni Amir
2023,223,Aharoni Amir
2010,4,Gossmann Toni
2011,23,Gossmann Toni
2012,51,Gossmann Toni
2013,74,Gossmann Toni
2014,73,Gossmann Toni
2015,63,Gossmann Toni
2016,81,Gossmann Toni
2017,129,Gossmann Toni
2018,112,Gossmann Toni
2019,163,Gossmann Toni
2020,192,Gossmann Toni
2021,234,Gossmann Toni
2022,222,Gossmann Toni
2023,110,Gossmann Toni
2005,82,Kayser Christoph
2006,183,Kayser Christoph
2007,649,Kayser Christoph
2008,788,Kayser Christoph
2009,859,Kayser Christoph
2010,716,Kayser Christoph
2011,847,Kayser Christoph
2012,722,Kayser Christoph
2013,848,Kayser Christoph
2014,939,Kayser Christoph
2015,835,Kayser Christoph
2016,1094,Kayser Christoph
2017,1063,Kayser Christoph
2018,1094,Kayser Christoph
2019,1231,Kayser Christoph
2020,1312,Kayser Christoph
2021,1462,Kayser Christoph
2022,1454,Kayser Christoph
2023,822,Kayser Christoph
2013,24,Hofmanova Martina
2014,21,Hofmanova Martina
2015,20,Hofmanova Martina
2016,45,Hofmanova Martina
2017,66,Hofmanova Martina
2018,100,Hofmanova Martina
2019,142,Hofmanova Martina
2020,147,Hofmanova Martina
2021,271,Hofmanova Martina
2022,395,Hofmanova Martina
2023,285,Hofmanova Martina
2005,18,SCHIERNING Gabi
2006,21,SCHIERNING Gabi
2007,37,SCHIERNING Gabi
2008,18,SCHIERNING Gabi
2009,31,SCHIERNING Gabi
2010,32,SCHIERNING Gabi
2011,59,SCHIERNING Gabi
2012,80,SCHIERNING Gabi
2013,102,SCHIERNING Gabi
2014,123,SCHIERNING Gabi
2015,187,SCHIERNING Gabi
2016,247,SCHIERNING Gabi
2017,296,SCHIERNING Gabi
2018,354,SCHIERNING Gabi
2019,480,SCHIERNING Gabi
2020,475,SCHIERNING Gabi
2021,606,SCHIERNING Gabi
2022,637,SCHIERNING Gabi
2023,406,SCHIERNING Gabi
2022,3,Müller Achim
2023,9,Müller Achim
1996,31,Esposito Elena
1997,31,Esposito Elena
1998,35,Esposito Elena
1999,49,Esposito Elena
2000,86,Esposito Elena
2001,66,Esposito Elena
2002,65,Esposito Elena
2003,132,Esposito Elena
2004,132,Esposito Elena
2005,93,Esposito Elena
2006,138,Esposito Elena
2007,197,Esposito Elena
2008,206,Esposito Elena
2009,191,Esposito Elena
2010,235,Esposito Elena
2011,263,Esposito Elena
2012,253,Esposito Elena
2013,323,Esposito Elena
2014,378,Esposito Elena
2015,312,Esposito Elena
2016,358,Esposito Elena
2017,373,Esposito Elena
2018,409,Esposito Elena
2019,437,Esposito Elena
2020,510,Esposito Elena
2021,474,Esposito Elena
2022,575,Esposito Elena
2023,363,Esposito Elena
2002,35,Hammer Barbara
2003,96,Hammer Barbara
2004,140,Hammer Barbara
2005,200,Hammer Barbara
2006,256,Hammer Barbara
2007,374,Hammer Barbara
2008,297,Hammer Barbara
2009,418,Hammer Barbara
2010,396,Hammer Barbara
2011,455,Hammer Barbara
2012,470,Hammer Barbara
2013,476,Hammer Barbara
2014,609,Hammer Barbara
2015,694,Hammer Barbara
2016,600,Hammer Barbara
2017,546,Hammer Barbara
2018,618,Hammer Barbara
2019,703,Hammer Barbara
2020,835,Hammer Barbara
2021,867,Hammer Barbara
2022,1197,Hammer Barbara
2023,536,Hammer Barbara
2016,2,NGUYEN Thi Nguyet Minh
2017,2,NGUYEN Thi Nguyet Minh
2018,6,NGUYEN Thi Nguyet Minh
2019,23,NGUYEN Thi Nguyet Minh
2020,41,NGUYEN Thi Nguyet Minh
2021,43,NGUYEN Thi Nguyet Minh
2022,45,NGUYEN Thi Nguyet Minh
2023,31,NGUYEN Thi Nguyet Minh
2000,40,Bayindir Mehmet
2001,85,Bayindir Mehmet
2002,172,Bayindir Mehmet
2003,212,Bayindir Mehmet
2004,233,Bayindir Mehmet
2005,254,Bayindir Mehmet
2006,283,Bayindir Mehmet
2007,260,Bayindir Mehmet
2008,240,Bayindir Mehmet
2009,240,Bayindir Mehmet
2010,287,Bayindir Mehmet
2011,320,Bayindir Mehmet
2012,371,Bayindir Mehmet
2013,355,Bayindir Mehmet
2014,519,Bayindir Mehmet
2015,499,Bayindir Mehmet
2016,533,Bayindir Mehmet
2017,596,Bayindir Mehmet
2018,582,Bayindir Mehmet
2019,511,Bayindir Mehmet
2020,434,Bayindir Mehmet
2021,393,Bayindir Mehmet
2022,336,Bayindir Mehmet
2023,195,Bayindir Mehmet
2004,16,Erbay Ebru
2005,17,Erbay Ebru
2006,10,Erbay Ebru
2007,48,Erbay Ebru
2008,53,Erbay Ebru
2009,99,Erbay Ebru
2010,174,Erbay Ebru
2011,205,Erbay Ebru
2012,210,Erbay Ebru
2013,213,Erbay Ebru
2014,209,Erbay Ebru
2015,192,Erbay Ebru
2016,201,Erbay Ebru
2017,226,Erbay Ebru
2018,227,Erbay Ebru
2019,305,Erbay Ebru
2020,285,Erbay Ebru
2021,321,Erbay Ebru
2022,336,Erbay Ebru
2023,174,Erbay Ebru
2003,58,Ilday Fatih Ömer
2004,176,Ilday Fatih Ömer
2005,203,Ilday Fatih Ömer
2006,313,Ilday Fatih Ömer
2007,380,Ilday Fatih Ömer
2008,281,Ilday Fatih Ömer
2009,289,Ilday Fatih Ömer
2010,352,Ilday Fatih Ömer
2011,345,Ilday Fatih Ömer
2012,387,Ilday Fatih Ömer
2013,401,Ilday Fatih Ömer
2014,411,Ilday Fatih Ömer
2015,471,Ilday Fatih Ömer
2016,473,Ilday Fatih Ömer
2017,527,Ilday Fatih Ömer
2018,532,Ilday Fatih Ömer
2019,516,Ilday Fatih Ömer
2020,608,Ilday Fatih Ömer
2021,635,Ilday Fatih Ömer
2022,622,Ilday Fatih Ömer
2023,363,Ilday Fatih Ömer
2009,15,HANAY Mehmet Selim
2010,59,HANAY Mehmet Selim
2011,78,HANAY Mehmet Selim
2012,96,HANAY Mehmet Selim
2013,106,HANAY Mehmet Selim
2014,135,HANAY Mehmet Selim
2015,144,HANAY Mehmet Selim
2016,168,HANAY Mehmet Selim
2017,171,HANAY Mehmet Selim
2018,187,HANAY Mehmet Selim
2019,173,HANAY Mehmet Selim
2020,182,HANAY Mehmet Selim
2021,197,HANAY Mehmet Selim
2022,194,HANAY Mehmet Selim
2023,134,HANAY Mehmet Selim
2009,15,HANAY Mehmet Selim
2010,59,HANAY Mehmet Selim
2011,78,HANAY Mehmet Selim
2012,96,HANAY Mehmet Selim
2013,106,HANAY Mehmet Selim
2014,135,HANAY Mehmet Selim
2015,144,HANAY Mehmet Selim
2016,168,HANAY Mehmet Selim
2017,171,HANAY Mehmet Selim
2018,187,HANAY Mehmet Selim
2019,173,HANAY Mehmet Selim
2020,182,HANAY Mehmet Selim
2021,197,HANAY Mehmet Selim
2022,194,HANAY Mehmet Selim
2023,134,HANAY Mehmet Selim
2003,58,ILDAY F. Ömer
2004,176,ILDAY F. Ömer
2005,203,ILDAY F. Ömer
2006,313,ILDAY F. Ömer
2007,380,ILDAY F. Ömer
2008,281,ILDAY F. Ömer
2009,289,ILDAY F. Ömer
2010,352,ILDAY F. Ömer
2011,345,ILDAY F. Ömer
2012,387,ILDAY F. Ömer
2013,401,ILDAY F. Ömer
2014,411,ILDAY F. Ömer
2015,471,ILDAY F. Ömer
2016,473,ILDAY F. Ömer
2017,527,ILDAY F. Ömer
2018,532,ILDAY F. Ömer
2019,516,ILDAY F. Ömer
2020,608,ILDAY F. Ömer
2021,635,ILDAY F. Ömer
2022,622,ILDAY F. Ömer
2023,363,ILDAY F. Ömer
2002,27,GURKAYNAK Refet
2003,52,GURKAYNAK Refet
2004,64,GURKAYNAK Refet
2005,118,GURKAYNAK Refet
2006,170,GURKAYNAK Refet
2007,227,GURKAYNAK Refet
2008,276,GURKAYNAK Refet
2009,346,GURKAYNAK Refet
2010,320,GURKAYNAK Refet
2011,429,GURKAYNAK Refet
2012,455,GURKAYNAK Refet
2013,541,GURKAYNAK Refet
2014,565,GURKAYNAK Refet
2015,620,GURKAYNAK Refet
2016,675,GURKAYNAK Refet
2017,668,GURKAYNAK Refet
2018,733,GURKAYNAK Refet
2019,721,GURKAYNAK Refet
2020,809,GURKAYNAK Refet
2021,940,GURKAYNAK Refet
2022,1047,GURKAYNAK Refet
2023,606,GURKAYNAK Refet
2000,65,DUMAN Tolga
2001,97,DUMAN Tolga
2002,83,DUMAN Tolga
2003,178,DUMAN Tolga
2004,231,DUMAN Tolga
2005,223,DUMAN Tolga
2006,269,DUMAN Tolga
2007,267,DUMAN Tolga
2008,321,DUMAN Tolga
2009,300,DUMAN Tolga
2010,310,DUMAN Tolga
2011,343,DUMAN Tolga
2012,419,DUMAN Tolga
2013,365,DUMAN Tolga
2014,336,DUMAN Tolga
2015,337,DUMAN Tolga
2016,284,DUMAN Tolga
2017,321,DUMAN Tolga
2018,339,DUMAN Tolga
2019,307,DUMAN Tolga
2020,311,DUMAN Tolga
2021,298,DUMAN Tolga
2022,397,DUMAN Tolga
2023,196,DUMAN Tolga
2003,58,ILDAY F. Ömer
2004,176,ILDAY F. Ömer
2005,203,ILDAY F. Ömer
2006,313,ILDAY F. Ömer
2007,380,ILDAY F. Ömer
2008,281,ILDAY F. Ömer
2009,289,ILDAY F. Ömer
2010,352,ILDAY F. Ömer
2011,345,ILDAY F. Ömer
2012,387,ILDAY F. Ömer
2013,401,ILDAY F. Ömer
2014,411,ILDAY F. Ömer
2015,471,ILDAY F. Ömer
2016,473,ILDAY F. Ömer
2017,527,ILDAY F. Ömer
2018,532,ILDAY F. Ömer
2019,516,ILDAY F. Ömer
2020,608,ILDAY F. Ömer
2021,635,ILDAY F. Ömer
2022,622,ILDAY F. Ömer
2023,363,ILDAY F. Ömer
2002,51,PAL Csaba
2003,70,PAL Csaba
2004,153,PAL Csaba
2005,252,PAL Csaba
2006,361,PAL Csaba
2007,382,PAL Csaba
2008,404,PAL Csaba
2009,490,PAL Csaba
2010,564,PAL Csaba
2011,694,PAL Csaba
2012,752,PAL Csaba
2013,705,PAL Csaba
2014,693,PAL Csaba
2015,700,PAL Csaba
2016,788,PAL Csaba
2017,759,PAL Csaba
2018,767,PAL Csaba
2019,897,PAL Csaba
2020,971,PAL Csaba
2021,990,PAL Csaba
2022,1028,PAL Csaba
2023,568,PAL Csaba
1997,115,NAGY Laszlo
1998,487,NAGY Laszlo
1999,731,NAGY Laszlo
2000,856,NAGY Laszlo
2001,939,NAGY Laszlo
2002,1110,NAGY Laszlo
2003,967,NAGY Laszlo
2004,973,NAGY Laszlo
2005,853,NAGY Laszlo
2006,994,NAGY Laszlo
2007,929,NAGY Laszlo
2008,927,NAGY Laszlo
2009,885,NAGY Laszlo
2010,968,NAGY Laszlo
2011,927,NAGY Laszlo
2012,1018,NAGY Laszlo
2013,1027,NAGY Laszlo
2014,1012,NAGY Laszlo
2015,1026,NAGY Laszlo
2016,917,NAGY Laszlo
2017,999,NAGY Laszlo
2018,1062,NAGY Laszlo
2019,1144,NAGY Laszlo
2020,1141,NAGY Laszlo
2021,1402,NAGY Laszlo
2022,1181,NAGY Laszlo
2023,653,NAGY Laszlo
2002,51,Pal Csaba
2003,70,Pal Csaba
2004,153,Pal Csaba
2005,252,Pal Csaba
2006,361,Pal Csaba
2007,382,Pal Csaba
2008,404,Pal Csaba
2009,490,Pal Csaba
2010,564,Pal Csaba
2011,694,Pal Csaba
2012,752,Pal Csaba
2013,705,Pal Csaba
2014,693,Pal Csaba
2015,700,Pal Csaba
2016,788,Pal Csaba
2017,759,Pal Csaba
2018,767,Pal Csaba
2019,897,Pal Csaba
2020,971,Pal Csaba
2021,990,Pal Csaba
2022,1028,Pal Csaba
2023,568,Pal Csaba
2002,51,Pal Csaba
2003,70,Pal Csaba
2004,153,Pal Csaba
2005,252,Pal Csaba
2006,361,Pal Csaba
2007,382,Pal Csaba
2008,404,Pal Csaba
2009,490,Pal Csaba
2010,564,Pal Csaba
2011,694,Pal Csaba
2012,752,Pal Csaba
2013,705,Pal Csaba
2014,693,Pal Csaba
2015,700,Pal Csaba
2016,788,Pal Csaba
2017,759,Pal Csaba
2018,767,Pal Csaba
2019,897,Pal Csaba
2020,971,Pal Csaba
2021,990,Pal Csaba
2022,1028,Pal Csaba
2023,568,Pal Csaba
1984,51,Kondorosi Eva
1985,131,Kondorosi Eva
1986,173,Kondorosi Eva
1987,171,Kondorosi Eva
1988,160,Kondorosi Eva
1989,165,Kondorosi Eva
1990,120,Kondorosi Eva
1991,122,Kondorosi Eva
1992,112,Kondorosi Eva
1993,166,Kondorosi Eva
1994,165,Kondorosi Eva
1995,188,Kondorosi Eva
1996,237,Kondorosi Eva
1997,226,Kondorosi Eva
1998,304,Kondorosi Eva
1999,274,Kondorosi Eva
2000,412,Kondorosi Eva
2001,309,Kondorosi Eva
2002,298,Kondorosi Eva
2003,368,Kondorosi Eva
2004,355,Kondorosi Eva
2005,394,Kondorosi Eva
2006,323,Kondorosi Eva
2007,344,Kondorosi Eva
2008,406,Kondorosi Eva
2009,419,Kondorosi Eva
2010,438,Kondorosi Eva
2011,588,Kondorosi Eva
2012,610,Kondorosi Eva
2013,627,Kondorosi Eva
2014,651,Kondorosi Eva
2015,715,Kondorosi Eva
2016,622,Kondorosi Eva
2017,806,Kondorosi Eva
2018,736,Kondorosi Eva
2019,907,Kondorosi Eva
2020,864,Kondorosi Eva
2021,810,Kondorosi Eva
2022,796,Kondorosi Eva
2023,530,Kondorosi Eva
2011,8,SAM Katerina
2012,7,SAM Katerina
2013,9,SAM Katerina
2014,26,SAM Katerina
2015,39,SAM Katerina
2016,76,SAM Katerina
2017,159,SAM Katerina
2018,233,SAM Katerina
2019,291,SAM Katerina
2020,363,SAM Katerina
2021,374,SAM Katerina
2022,506,SAM Katerina
2023,335,SAM Katerina
2000,66,Novotny Vojtech
2001,74,Novotny Vojtech
2002,108,Novotny Vojtech
2003,148,Novotny Vojtech
2004,187,Novotny Vojtech
2005,245,Novotny Vojtech
2006,231,Novotny Vojtech
2007,299,Novotny Vojtech
2008,370,Novotny Vojtech
2009,322,Novotny Vojtech
2010,409,Novotny Vojtech
2011,423,Novotny Vojtech
2012,522,Novotny Vojtech
2013,637,Novotny Vojtech
2014,682,Novotny Vojtech
2015,814,Novotny Vojtech
2016,931,Novotny Vojtech
2017,943,Novotny Vojtech
2018,1020,Novotny Vojtech
2019,1191,Novotny Vojtech
2020,1261,Novotny Vojtech
2021,1424,Novotny Vojtech
